id,strain,agouti,group,sex,CACNA1C,d50bw,pctdurlight,d1totalactivity,d1centerdur,d2totalactivity,d3.d2totalactivity,immobdur,ppibox,startle
55828,BKS,b,CAC14,F,WT,18.9,30.3,3051,41,2935,6417,21.9,4,34.5
55829,BKS,b,CAC14,F,WT,17.5,46.3,2111,29,837,3732,73.1,5,15.7
55830,BKS,b,CAC14,F,HET,17.8,28,1714,19,2046,5307,0.1,,NA
55831,BKS,b,CAC15,M,HET,23.3,37.9,2772,50,2288,7658,74.4,1,12.5
55832,BKS,b,CAC15,M,WT,18.1,42.6,3345,136,3007,5592,21.4,2,21.1
55833,BKS,b,CAC15,M,WT,24.4,NA,3330,107,3344,12918,50.4,3,55.3
55834,BKS,b,CAC15,F,WT,16.6,32.4,3371,106,2593,11085,12.6,4,20.3
55835,BKS,b,CAC15,F,WT,17.8,51.1,4416,108,5242,10075,8.6,5,19.1
55836,BKS,b,CAC15,F,WT,19,36.6,4211,100,3656,5764,21,1,19.3
55841,SM,b,CAC15,M,WT,24.9,41,8028,134,8122,11806,3.2,2,52.5
55842,SM,b,CAC15,M,HET,21.9,49.6,6712,171,6620,14097,8.6,3,87.6
55843,SM,b,CAC15,F,HET,15.4,40.7,6134,75,5697,11288,4.9,4,66.9
55844,SM,b,CAC15,F,WT,15,49.8,8670,184,9261,15322,1.6,5,33.5
55845,NOD,a,CAC15,F,WT,21.3,14.7,5057,50,4473,16977,72.3,1,11.4
55846,NOD,a,CAC15,F,HET,20,29.4,2968,17,1584,11895,0,2,10.1
55849,BKS,b,CAC15,M,WT,25.6,45.2,3250,116,2897,-1001,21.8,3,65.5
55850,BKS,b,CAC15,M,HET,25.5,24.1,2510,38,2164,12071,1.3,4,19.2
55851,BKS,b,CAC15,M,HET,24.1,40.3,2557,25,2229,5657,25.4,5,37
55852,BKS,b,CAC15,M,HET,25.3,42.7,3044,58,2684,-2282,12.8,1,17.2
55856,MRL,b,CAC15,M,HET,38.9,71,6977,47,5818,-5726,45.6,2,40.5
55857,MRL,b,CAC15,M,HET,38.8,33,5439,65,4013,8166,0,3,75.7
55858,MRL,b,CAC15,M,HET,39.6,9.8,2884,11,2791,7509,23.6,4,NA
55861,BUB,b,CAC15,F,HET,22,18.9,1463,5,143,-130,29.1,5,19.9
55862,BUB,b,CAC15,F,HET,23.2,32.9,4458,148,5224,-4894,89.6,1,10.6
55863,ILN,b,CAC15,M,HET,28.1,40.4,4497,74,3846,3242,23.9,2,65.8
55864,ILN,b,CAC15,M,WT,24.9,20.6,4878,117,4109,26,14.1,3,141.1
55865,ILN,b,CAC15,M,WT,26.5,24.4,5880,66,5048,7206,31.5,4,176
55866,ILN,b,CAC15,M,HET,25.5,41,4627,53,3340,9483,45.6,5,33.8
55867,ILN,b,CAC15,M,WT,27.7,39.7,4402,114,3813,4646,82.3,1,82.7
55868,ILN,b,CAC15,F,WT,21.7,14.4,4594,114,3507,13477,114.1,2,38.5
55869,ILN,b,CAC15,F,HET,20.3,37.7,3821,32,2635,2471,25.7,3,62.8
55872,CBA,a,CAC15,M,WT,26,45.6,7030,242,6063,3687,10,4,115
55873,CBA,a,CAC15,M,HET,23.9,48.5,1845,19,4279,1663,2.5,5,103.2
55874,CBA,a,CAC15,F,HET,19.6,62.3,4718,224,5468,8999,2.3,1,32.4
55875,CBA,a,CAC15,F,HET,20.8,27,5953,146,5894,8551,2.2,2,37.7
55876,CBA,a,CAC15,F,WT,18.8,50,4476,156,5501,6630,1.3,3,85.8
55880,ILN,b,CAC15,M,WT,23.7,41.8,6267,157,4826,6300,44.7,4,86.8
55881,ILN,b,CAC15,M,HET,24.9,13.9,5044,98,4224,5620,24,5,99.5
55882,ILN,b,CAC15,M,WT,25,21.8,6884,126,5635,5105,28,1,64.3
55883,ILN,b,CAC15,F,WT,18.7,47,5599,79,6195,14728,48.7,2,65.3
55884,ILN,b,CAC15,F,HET,19.9,15.1,1174,9,1275,5707,174.3,3,80.5
55885,ILN,b,CAC15,F,HET,21.9,19.1,4484,24,4292,8956,21.3,4,75.8
55886,ILN,b,CAC15,F,HET,18.9,34.2,4610,33,4688,10861,99.8,5,72
55887,ILN,b,CAC15,F,WT,19.6,49.6,6000,56,5388,5494,99.7,1,45.5
55888,ILN,b,CAC15,F,WT,20,47.7,3130,62,2940,9827,107.8,2,69.3
55893,DDY,b,CAC15,F,WT,26.6,45.3,7125,140,324,-196,72.8,3,96.9
55894,DDY,b,CAC15,F,HET,24,32.6,3028,8,1325,7538,131.7,4,127.5
55895,DDY,b,CAC15,F,HET,24.6,40.8,3936,49,2578,14470,59,5,55.6
55896,DDY,b,CAC15,F,HET,27.4,34.3,2891,40,1675,12270,82,,NA
55897,FVB,a,CAC16,M,HET,28.5,42.3,4845,132,3680,16903,15.9,1,16
55898,FVB,a,CAC16,M,HET,27.8,38.2,4326,122,2587,18362,0.5,2,71
55899,FVB,a,CAC16,M,WT,26.7,35.8,2613,29,3629,22615,16.6,4,45.7
57001,ILN,b,CAC16,M,HET,29.4,23.3,3794,27,1609,3472,27.2,5,122.4
57002,ILN,b,CAC16,M,HET,30.3,41.6,2841,16,3092,6534,25,1,80.4
57003,ILN,b,CAC16,M,HET,29.7,14.8,3384,54,2932,2762,42.8,2,88
57004,ILN,b,CAC16,M,WT,26.9,17.9,7416,217,2429,10465,6.3,4,124.5
57006,NOD,a,CAC16,F,HET,18,43.3,6241,88,3007,20549,6.8,5,11.8
57007,NOD,a,CAC16,F,HET,17.3,49.3,5144,83,2485,9084,0,1,14.2
57016,B6,b,CAC16,M,WT,24.5,30.4,4012,106,1837,8263,35.1,2,11.9
57017,B6,b,CAC16,M,HET,23.8,28.6,2745,69,1710,1657,27.5,4,11.5
57018,B6,b,CAC16,M,HET,24.7,33.3,2521,15,2110,17922,6.5,5,23.8
57024,LP,a,CAC16,M,HET,32.6,38.5,1480,5,118,1675,130.9,1,9.9
57025,LP,a,CAC16,M,HET,30.8,35,4847,130,4199,6122,103.9,2,7.1
57026,LP,a,CAC16,M,HET,32.4,34.5,3071,36,1532,12421,12.1,4,8.2
57027,LP,a,CAC16,F,HET,22.7,25.3,5608,60,4644,3418,48.1,5,9.9
57028,LP,a,CAC16,F,WT,22.4,46.9,4693,148,5062,21634,111.7,1,7.6
57029,CBA,a,CAC16,M,HET,29.1,40.2,5590,404,5568,10274,1.6,2,189.5
57030,CBA,a,CAC16,M,WT,23.6,49.4,8058,253,8139,15201,30.4,4,105.5
57033,DDY,b,CAC16,M,WT,33,52.3,2298,26,2785,19844,65.1,5,173.8
