id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
53279,C3H,6,4B,M,HET,agouti,28.1,20,1925.5,AM,0,2.1,13,5,39.4,87.4,56.1,66,32.8,110
53282,C3H,6,4B,M,HET,agouti,28.8,4.8,2123.3,AM,0.9,7.1,16.1,1,72.1,49.3,92.3,65,35.3,137
53280,C3H,6,4B,F,WT,agouti,22.7,80.1,5874.4,AM,0,1.8,25.5,2,29.9,73.3,34.7,53,26.2,122
53281,C3H,6,4B,F,HET,agouti,20.9,6.9,1028.8,AM,0,40.8,3.1,3,65.9,65.7,16.6,61,24.1,91
53283,NZB,9,5A,M,HET,black,27.7,187.4,2715.2,AM,26.79,61.6,89.7,1,52,35,18.5,60,35.4,102
53284,NZB,9,5A,M,WT,black,30.5,163.1,4240.7,AM,0.9,92.5,89.3,2,56.5,12,128.1,34,36.2,111
53285,NZB,9,5A,M,HET,black,27.5,90.6,2708.1,AM,4.02,31.7,34.4,3,27.1,103.5,59.1,45,36.3,92
53286,NZB,9,5A,M,HET,black,26.8,53.3,2206.6,AM,16.52,98.8,97.8,4,33.8,99.8,68.1,57,35,108
53287,NZB,9,5A,M,WT,black,29.3,88.9,3519.6,AM,2.23,15.1,88.4,5,63.3,35.9,9.5,49,38.3,143
53288,NZB,9,5A,F,HET,black,18.6,20.6,2382.8,AM,0.45,61.6,94.6,1,61.3,20.8,101.9,54,22.5,110
53289,NZB,9,5A,F,WT,black,21.5,144.5,6641.3,AM,5.36,87.5,73.2,2,47.2,33.3,88.6,35,27.7,94
53290,NZB,9,5A,F,WT,black,20.4,125.3,3780.8,AM,7.15,70.5,86.2,3,50.5,29.5,36.5,42,25.8,110
53291,NZB,9,5A,F,HET,black,18.8,59.9,2941.4,AM,6.25,27.1,91.5,4,26.1,68.5,32.6,37,22.2,105
53292,NZB,9,5A,F,HET,black,18.4,109.7,3284.1,AM,7.59,68.7,84.8,5,37.1,53.2,63,36,22.5,97
53293,RII,6,5A,M,HET,agouti,22.7,38.3,2740.7,AM,0,2.9,21,1,86.5,90.6,73.6,69,28.5,144
53294,RII,6,5A,M,WT,agouti,25.1,122.6,6432.2,AM,0,1.8,0.9,2,53.2,92.3,59.7,61,28,159
53295,RII,6,5A,M,WT,agouti,24,111,4478.3,AM,0.89,0.4,50.9,3,28.4,124.7,31.7,56,29.9,142
53296,RII,6,5A,M,WT,agouti,25.8,228.5,4669.8,AM,0.45,0.4,39.7,4,53.5,170,68.5,55,28.3,163
53297,RII,6,5A,F,HET,agouti,16.4,79,3869.8,AM,0,0.7,72.8,5,43.7,85.9,24.6,45,17.6,152
53298,RII,6,5A,F,HET,agouti,16.5,73.1,5382.4,AM,0,0,12.5,1,72.1,51.4,53.8,43,17.6,139
53299,ILN,9,5A,M,WT,black+reddish,25.1,227.6,6444.2,AM,0.89,0.4,8.9,2,54.1,94.8,82.7,60,31.4,116
53300,ILN,9,5A,M,HET,black+reddish,23.7,22.7,12279.9,AM,3.57,0,29.5,3,27.2,58.8,101,61,26.8,135
53401,ILN,9,5A,M,WT,black+reddish,27.1,121.4,6407.1,AM,0,0.4,4.9,4,15.1,132.4,24,67,32.7,135
53402,ILN,9,5A,M,WT,black+reddish,26.1,87.4,5836.4,AM,0,0.2,6.3,5,54.8,131.1,77.5,59,30,121
53403,ILN,9,5A,M,WT,black+reddish,22.1,81.7,5403,AM,0.45,3,9.8,1,67.6,52.1,70.9,88,27.6,147
53404,ILN,9,5A,F,WT,black+reddish,22.8,137.4,5285.3,AM,0,7.7,50.4,2,31.1,48.6,168.3,58,26.5,94
53405,ILN,9,5A,F,WT,black+reddish,20.4,155.9,4912.9,AM,4.02,11.2,58.9,3,30.1,91,173,61,26,154
53406,ILN,9,5A,F,HET,black+reddish,19.8,14.6,2893.3,AM,0,3.9,30.8,4,76.2,22.7,100,52,24.5,129
53407,ILN,9,5A,F,HET,black+reddish,18.8,22.4,6466.3,AM,0,4.1,14.3,5,43.6,7.6,194,61,22.4,130
53408,ILN,9,5A,F,WT,black+reddish,20.4,117.3,5643.2,AM,3.58,9.4,79,1,54.6,59.4,166.5,56,25.5,114
53409,B6,9,5A,M,HET,black,20.4,142.5,6113,AM,0,2.1,10.7,2,58,15.4,116.9,49,24.3,95
53410,B6,9,5A,M,WT,black,22.3,250.9,4183,AM,5.8,3.7,41.5,3,61.7,64.3,59.1,51,25.6,130
53411,B6,9,5A,M,HET,black,19.9,163,5846.8,AM,0.9,4.3,63.8,4,50.3,115.1,71.7,52,22.8,92
